osmid,osm_type,name,transport_mode,lat,lon,operator,network,ref,public_transport,railway,highway,amenity,tram,bus,route,source
12150021619,node,Palais Royal de Skhirat 1,bus,33.8654548,-7.0467299,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021620,node,Palais Royal de Skhirat,bus,33.8695013,-7.0385454,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021621,node,Bahara,bus,33.8758887,-7.0279564,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021622,node,Bahara,bus,33.8761235,-7.0279466,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021623,node,Chiahna 1,bus,33.8780346,-7.0251807,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021624,node,Chiahna,bus,33.8839086,-7.0184429,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021625,node,Petit Bador,bus,33.9019314,-6.9929937,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021634,node,Miramar,bus,33.9079687,-6.9821292,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021635,node,Miramar,bus,33.9081904,-6.9821231,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021636,node,Sidi Abed,bus,33.9118391,-6.9773686,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150021637,node,Sidi Abed,bus,33.9119361,-6.9775605,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150137791,node,Plage Sidi Abed,bus,33.9138022,-6.9749004,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150137800,node,,bus,33.9184032,-6.9670442,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150141201,node,Contrebande,bus,33.9184229,-6.9673355,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150141202,node,Sable D'or 1,bus,33.9209602,-6.9635847,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150141203,node,Sable D'or 1,bus,33.9209788,-6.9637829,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223418,node,Yasmina Club,bus,33.9380209,-6.9400955,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223419,node,Yasmina Club,bus,33.9378933,-6.9399418,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223420,node,Miramar,bus,33.9480984,-6.928783,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223421,node,Entree Hay Fatah,bus,33.9694611,-6.9071918,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223461,node,Rue Mer Du Japon,bus,33.9723694,-6.9029987,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223462,node,Rue Mer Du Japon,bus,33.9724445,-6.9031594,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150223463,node,Ecole Americaine,bus,33.9744576,-6.8985248,,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12150577786,node,Zone Economique,bus,34.1363205,-6.724991,ALSA,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12151761765,node,Sidi Chafi,bus,34.0307884,-6.6655309,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12151781274,node,,bus,33.8843552,-6.9867192,,,,stop_position,,,,,yes,,
12152116891,node,Plage Skhirat(Terminus),bus,33.8655232,-7.056162,ALSA,ALSA Citybus RST,,stop_position,,,,,yes,,
12152116892,node,Plage Skhirat(Terminus),bus,33.8654681,-7.0562356,ALSA,ALSA Citybus RST,,stop_position,,,,,yes,,
12152116897,node,,bus,33.9259244,-6.9584676,,,,stop_position,,,,,yes,,
12152116898,node,Av. Hassan II (Bab El Had)Terminus,bus,34.0179719,-6.8444708,,ALSA Citybus RST,,stop_position,,,,,yes,,
12152116899,node,Av. Hassan II (Bab El Had)Terminus,bus,34.0180388,-6.8442797,,ALSA Citybus RST,,stop_position,,,,,yes,,
12152166961,node,Hizb AL Istiklal,bus,34.020334,-6.8401324,,,,stop_position,,,,,yes,,
12152166962,node,Hizb AL Istiklal,bus,34.0203798,-6.8402504,,,,stop_position,,,,,yes,,
12152174844,node,,bus,34.0017566,-6.8596187,,,,stop_position,,,,,yes,,
12152177068,node,,bus,33.9902975,-6.724613,,,,stop_position,,,,,yes,,
12152181696,node,,bus,33.8299604,-7.0749687,,,,stop_position,,,,,yes,,
12152181697,node,Skhirat Label'vie,bus,33.8298764,-7.0749682,Alsa,,,platform,,bus_stop,,,yes,,
12152182578,node,,bus,33.8806159,-6.6467138,,,,stop_position,,,,,yes,,
12152182579,node,,bus,33.7994974,-6.7885599,,,,stop_position,,,,,yes,,
12152194111,node,Sidi Taibi,bus,34.1904152,-6.684792,,ALSA Citybus RST,,stop_position,,,,,yes,,
12152194112,node,Sidi Taibi,bus,34.1902385,-6.6847832,,ALSA Citybus RST,,stop_position,,,,,yes,,
12152388052,node,,bus,34.0356502,-6.7480158,,,,stop_position,,,,,yes,,
12152808698,node,Al Manal,bus,33.9772685,-6.889885,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808699,node,Al Manal,bus,33.9773765,-6.8900369,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808700,node,Ec.Hohamed Belghazi,bus,33.9806981,-6.8879565,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808701,node,Ec.Hohamed Belghazi,bus,33.9805689,-6.8878704,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808702,node,Province chabanate,bus,33.9820272,-6.8874482,,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808703,node,Chebanate,bus,33.9836919,-6.8887464,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808704,node,Chebanate,bus,33.9833946,-6.8889141,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808705,node,Cimetiere Chebanate,bus,33.9850552,-6.8873963,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808706,node,Cimetiere Chebanate,bus,33.9848836,-6.8874303,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808707,node,Diour Police,bus,33.9877933,-6.8846574,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808708,node,Jardin El Kifah,bus,33.9894821,-6.8829181,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808709,node,Jardin El Kifah,bus,33.989392,-6.882767,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808718,node,El Masbah,bus,33.9911495,-6.8839525,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152808719,node,El Masbah,bus,33.9910189,-6.8841069,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12152885056,node,,bus,34.0245478,-6.7562452,,,,stop_position,,,,,yes,,
12152894008,node,Doha Centre(Terminus),bus,34.0876861,-6.7742366,,,,stop_position,,,,,yes,,
12152894009,node,Doha Centre(Terminus),bus,34.0877561,-6.7741119,,,,stop_position,,,,,yes,,
12152933109,node,,bus,33.7994804,-6.7886448,,,,stop_position,,,,,yes,,
12153468958,node,Oum Azza,bus,33.8809443,-6.7853618,,,,platform,,bus_stop,,,yes,,
12153569660,node,Moulay Ali Cherif(Trminus L37B),bus,33.92866,-6.9005017,,,,stop_position,,,,,yes,,
12153569661,node,Maghreb el Arabi(Chiga) Terminus,bus,33.9161051,-6.8920722,ALSA,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12153569662,node,Maghreb el Arabi(Chiga) Terminus,bus,33.9165922,-6.8919269,,,,stop_position,,,,,yes,,
12153569663,node,Maghreb el Arabi(Chiga) Terminus,bus,33.916179,-6.892119,,,,stop_position,,,,,yes,,
12153569664,node,,bus,33.9192929,-6.8904361,,,,stop_position,,,,,yes,,
12153569665,node,,bus,33.9193056,-6.8903714,,,,stop_position,,,,,yes,,
12153987698,node,,bus,34.0242315,-6.827286,,,,stop_position,,,,,yes,,
12154213113,node,Sidi Azzouz,bus,33.8805308,-6.6468263,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154213114,node,Entree Souk Khmis,bus,34.0221733,-6.6020125,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154215484,node,Gp.Scolaire Qiabi,bus,34.0637675,-6.8030536,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154215485,node,Ins.Special Chmaou,bus,34.0663609,-6.8011216,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154215486,node,Residence Al Arsa,bus,34.0699211,-6.798165,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154215494,node,Le Triangle,bus,34.0552001,-6.8140894,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154215495,node,Molhaqa Sidi Moussa,bus,34.0578008,-6.8161934,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154428783,node,Zone Economique,bus,34.1363881,-6.7250737,ALSA,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154484527,node,Sidi Bel Abbas,bus,34.035467,-6.8151448,ALSA,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154529630,node,Hay El Fath,bus,33.8361766,-7.0601643,,,,platform,,bus_stop,,,yes,,
12154529631,node,Mimosa,bus,33.8378962,-7.0569604,,,,platform,,bus_stop,,,yes,,
12154529633,node,Mun. Skhirat,bus,33.8454122,-7.0459835,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154529634,node,,bus,33.8393526,-7.0449614,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154529635,node,Rissani,bus,33.8491062,-7.0416219,ALSA Citybus RST,ALSA Citybus RST,,platform,,bus_stop,,,yes,,
12154529636,node,Poste skhirat,bus,33.8518346,-7.0386194,ALSA,,,platform,,bus_stop,,,yes,,
12154529637,node,Centre De Sante skhirat,bus,33.8544126,-7.0345705,ALSA,,,platform,,bus_stop,,,yes,,
12154529638,node,Ain Hayat,bus,33.8574282,-7.028777,ALSA,,,platform,,bus_stop,,,yes,,
12154529639,node,Commune Skhirat,bus,33.861541,-7.0182122,ALSA,,73340,platform,,bus_stop,,,yes,,
12154529640,node,Karnawall Maroc,bus,33.8639922,-7.0111862,ALSA,,,platform,,bus_stop,,,yes,,
12154529641,node,Entrepot Municipal Skhirat,bus,33.8703978,-6.9997519,ALSA,,,platform,,bus_stop,,,yes,,
