commune_norm;commune_x;taux_jeunesse;taux_vieillesse;INIV;nb_atm;IEDU;Indice_accessibilite_x;Indice_transport;indice_densite_routiere;Indice_POI;densite_norm;Indice_POI_norm;indice_densite_routiere_norm;indice_transport_norm_x;indice_transport_norm_y;commune_key;commune_y;latitude;longitude;densite
agadir;Agadir;22.9;13.4;0.9961;16.0;0.8225;52.0;100.0;30.71;33.24;0.8844923349191716;0.9959893048128342;0.9558823529411764;1.0;0.9966577540106952;agadir;agadir;30.4205162;-9.5838532;501797.0
agadirmelloul;Agadir Melloul;30.7;17.6;0.525;;0.4251;1.7;0.0;3.33;0.18;0.013204351037258;0.5925802139037433;0.3449197860962567;0.3699866310160428;0.3365641711229946;agadir melloul;agadir melloul;30.2321967;-7.794225;7504.0
agafay;Agafay;29.0;11.4;0.8518;;0.6808;5.32;11.3;3.71;0.37;0.0312984190385201;0.7356283422459893;0.4010695187165775;0.9565508021390374;0.7901069518716578;agafay;agafay;31.4872129;-8.1970725;17769.0
agdal;Agdal;17.6;23.7;0.999;1.0;0.8455;44.29;5.77;45.12;100.0;0.2228928298840322;1.0;0.9766042780748664;0.920120320855615;0.9926470588235294;agdal;agdal;33.9983119;-6.8542908;126463.0
agdalriyad;Agdal Riyad;15.9;25.9;1.0;13.0;0.7307;46.25;38.46;58.0;28.57;0.1185271622543463;0.9926470588235294;0.9866310160427808;0.9906417112299464;0.9939839572192514;agdal riyad;agdal riyad;34.0071036;-6.8458158;67255.0
agdz;Agdz;32.1;10.3;0.9569;;0.704;7.02;0.24;13.18;1.8;0.0196840192274811;0.9080882352941176;0.8596256684491979;0.7737299465240641;0.8459224598930482;agdz;agdz;30.6943155;-6.4489453;11180.0
aghbal;Aghbal;24.2;18.4;0.8135;;0.6391;2.58;0.24;4.77;0.62;0.0283229892493209;0.8125;0.5304144385026738;0.7737299465240641;0.5411096256684492;aghbal;aghbal;34.9395171;-2.1272057;16081.0
aghbala;Aghbala;28.2;14.4;0.5896;;0.4969;1.36;0.0;2.6;0.29;0.0235478474845455;0.6895053475935828;0.2533422459893048;0.3699866310160428;0.2453208556149732;aghbala;aghbala;32.480569;-5.643029;13372.0
aghbalou;Aghbalou;28.4;11.9;0.7849;;0.6027;1.54;0.0;3.03;0.11;0.018122271127226;0.4699197860962567;0.3064839572192513;0.3699866310160428;0.2927807486631016;aghbalou;aghbalou;32.6790387;-5.2959993;10294.0
aghbalouaqorar;Aghbalou Aqorar;27.2;15.1;0.7028;;0.3773;1.81;0.0;3.5;0.29;0.0174630230578181;0.6895053475935828;0.3729946524064171;0.3699866310160428;0.365975935828877;aghbalou aqorar;aghbalou aqorar;33.9341366;-4.7380687;9920.0
